Link_Header_Project_Name,State,Link_Header_project_Url,Scout id,Address,Timestamp,Data.Objektart,Data.Vermietbare Fläche ca.,Data.Wohnfläche ca.,Data.Sonstige Fläche ca.,Data.Gesamtfläche ca.,Data.Grundstücksfläche,Data.Etage(n),Data.Kaufpreis ab,Data.x-fache Miete,Data.Mieteinnahmen p.a. (Soll),Data.Provision für Käufer,Data.Baujahr,Data.Objektzustand,Data.Letzte Modernisierung/ Sanierung,Data.Heizungsart,Data.Energieausweis,Data.Anzahl der Parkflächen,Data.Wesentliche Energieträger,Data.Energie­ausweistyp,Data.Endenergiebedarf,Data.Energie­effizienz­klasse,Data.Qualität der Ausstattung,Data.Kaufpreis pro m²,Data.End­energie­verbrauch,Data.Fußweg zu öffentl. Verkehrsmitteln,Data.Fahrzeit nächster Hauptbahnhof,Data.Fahrzeit nächste Autobahn,Data.Fahrzeit nächster Flughafen,Data.End­energie­ver­brauch Strom,Data.End­energie­ver­brauch Wärme,Data.Gewerbefläche ca.,Data.Preis pro Parkfläche,Data.Mieteinnahmen p.a. (Ist),Data.Betriebskosten umgelegt,Data.Nicht umgelegte Kosten,Data.Denkmalschutzobjekt,Data.Energie­ver­brauchs­kennwert,Data.Strom­ver­brauchs­kenn­wert,Data.Heiz­energie­ver­brauchs­kenn­wert
Kernsaniertes MFH im Herzen von Mannheim,Baden-Württemberg,,"Objekt-Nr.: 136-00207 |
        
        Scout-ID: 128567386","68159 Mannheim, Innenstadt/Jungbusch",2021-09-02 11:09:07.504423,Mehrfamilienhaus,703  m²,703  m²,227  m²,930  m²,200  m²,5,3.500.000 €,"21,3",164.000  €,"3,57 % inkl. ges. MwSt.",1900,Vollständig renoviert,2021,Zentralheizung,laut Gesetz nicht erforderlich,,,,,,,,,,,,,,,,,,,,,,,
"NEUGroße Maisonette-Wohnung mit Küche, Balkon + Stellplatz",Baden-Württemberg,,"Objekt-Nr.: 134-00115 |
        
        Scout-ID: 129245166","72477 Schwenningen, Sigmaringen (Kreis)",2021-09-02 11:09:42.070686,Eigentumswohnung,"130,41  m²","130,41  m²",,"130,41  m²",,,199.000 €,,,"3,57 % inkl. ges. MwSt.",1968,Modernisiert,,Zentralheizung,liegt vor,1,Öl,Bedarfsausweis,"148,8 kWh/(m²*a)",E,,,,,,,,,,,,,,,,,,
MA - SECKENHEIM I Mietfreies 3 FH + kleines Hofgebäude I renovierungsbedürftig,Baden-Württemberg,,"Objekt-Nr.: 2021-229 |
        
        Scout-ID: 128418829","68239 Mannheim / Seckenheim, Mannheim",2021-09-02 11:10:12.438125,Mehrfamilienhaus,265  m²,230  m²,50  m²,280  m²,241  m²,4,665.000 €,,,"4,76 % inklusive der gesetzlichen MwSt.",1926,Renovierungsbedürftig,,Zentralheizung,liegt vor,,Gas,Verbrauchsausweis,,D,Normal,2.375  €,106 kWh/(m²*a),5 Min.,15 Min.,5 Min.,40 Min.,,,,,,,,,,,
NEUIdeal für Singles oder kleine Familien!,Baden-Württemberg,,"Objekt-Nr.: 2021-0061 |
        
        Scout-ID: 129318372","74336 Brackenheim, Heilbronn (Kreis)",2021-09-02 11:10:48.010096,Eigentumswohnung,65  m²,65  m²,,65  m²,,3,200.000 €,,,"4,76 % inkl. ges. MwSt.",1837,,2002,Zentralheizung,liegt vor,2,Öl,Bedarfsausweis,204 kWh/(m²*a),G,,,,,,,,,,,,,,,,,,
Saniertes Bürogebäude mit starker Rendite 4%,Baden-Württemberg,,"Objekt-Nr.: 7333 |
        
        Scout-ID: 129100794","89077 Ulm, Weststadt",2021-09-02 11:11:23.997227,Bürogebäude,622  m²,,,791  m²,791  m²,UG + EG + OG + DG,2.100.000 €,25,84.000  €,"3,57% des Kaufpreises",1904,,2005,Zentralheizung,liegt vor,16,Fernwärme,Verbrauchsausweis,,,,,,,,,,1 kWh/(m²*a),"48,4 kWh/(m²*a)",,,,,,,,,
Zentral gelegenes Wohn- und Geschäftshaus • lohnende Geldanlage,Baden-Württemberg,,"Objekt-Nr.: 2083a |
        
        Scout-ID: 128906126","88367 Hohentengen, Sigmaringen (Kreis)",2021-09-02 11:11:57.242129,Wohn-/ Geschäftshaus,700  m²,370  m²,,,707  m²,,645.000 €,,,"3,57 %",2018,Modernisiert,,,liegt vor,,Nahwärme,Verbrauchsausweis,,F,,,"190,53 kWh/(m²*a)",,10 Min.,,10 Min.,,,330  m²,,,,,,,,
Beste Lage wartet auf Kapitalanleger!,Baden-Württemberg,,"Objekt-Nr.: MTH1425 |
        
        Scout-ID: 118535427","68199 Mannheim, Neckarau",2021-09-02 11:12:30.474803,Eigentumswohnung,112  m²,108  m²,,112  m²,0  m²,1,374.000 €,,,"4,76% des Kaufpreises inkl. MwSt.",1992,Gepflegt,,Fernwärme,liegt vor,1,Fernwärme-Dampf,Verbrauchsausweis,,,Normal,,"119,5 kWh/(m²*a)",,,,,,,,0  €,,,,,,,
Wohnen oder Gewerbe? Dieses Haus begeistert Sie doppelt!,Baden-Württemberg,,"Objekt-Nr.: 0011 |
        
        Scout-ID: 127653609","70563 Stuttgart Vaihingen, Vaihingen-Mitte",2021-09-02 11:13:05.196391,Wohn-/ Geschäftshaus,"425,45  m²",204  m²,,,264  m²,2,1.690.000 €,,,4 % zzgl. gesetzlicher Mwst.,1948,Modernisiert,2014,,liegt zur Besichtigung vor,,,,,,Luxus,,,,,,,,,"221,45  m²",,,,,,,,
"+++ Neuwertiges, modernes Mehrfamilienhaus in Bestlage zu Verkaufen! +++",Baden-Württemberg,,Scout-ID: 128255446,"70563 Stuttgart, Heerstraße",2021-09-02 11:13:38.711481,Mehrfamilienhaus,350  m²,350  m²,,,605  m²,4,2.099.000 €,,,"4,76% inkl. MwSt.",2021,Neuwertig,2021,Zentralheizung,liegt vor,5,Gas,Bedarfsausweis,"91,3 kWh/(m²*a)",C,Gehoben,"5.997,40  €",,2 Min.,10 Min.,5 Min.,15 Min.,,,,0  €,72.000  €,,,,,,
Top-Lage: Vermietete Gewerbefläche im Stadtzentrum,Baden-Württemberg,,"Objekt-Nr.: 124544-3 |
        
        Scout-ID: 128776161","76661 Philippsburg, Karlsruhe (Kreis)",2021-09-02 11:14:22.403533,Geschäftshaus,149  m²,,,148  m²,,,229.000 €,,,"3,57 %",1985,Gepflegt,,,liegt vor,,Gas,Verbrauchsausweis,,,,"797,91  €",,,,,,"26,1 kWh/(m²*a)","163,6 kWh/(m²*a)",,,,,,,,,
Natur pur - einzigartige Randlage an der Eschach,Baden-Württemberg,,"Objekt-Nr.: 118-00450 |
        
        Scout-ID: 128984668","78628 Rottweil, Rottweil (Kreis)",2021-09-02 11:15:19.913042,Einfamilienhaus,154  m²,154  m²,,154  m²,6.991  m²,,595.000 €,,,"3,57 % inkl. ges. MwSt.",1973,Gepflegt,,Zentralheizung,liegt vor,6,Öl,Bedarfsausweis,"310,1 kWh/(m²*a)",H,Normal,,,,,,,,,,,,,,,,,
"""Vermietetes 3-Familienhaus zur Kapitalanlage""",Baden-Württemberg,,"Objekt-Nr.: 0-20206 |
        
        Scout-ID: 128429777","73054 Eislingen/Fils, Göppingen (Kreis)",2021-09-02 11:15:51.881984,Mehrfamilienhaus,173  m²,173  m²,,,200  m²,,399.000 €,,0  €,"4,76 % inkl. MwSt",1899,,,Etagenheizung,liegt vor,,Gas,Bedarfsausweis,"217,8 kWh/(m²*a)",,,0  €,,,,,,,,,,14.520  €,0  €,0  €,,,,
Zentral gelegenes Wohn-/Geschäftshaus - PRIVATES BIETERVERFAHREN,Baden-Württemberg,,"Objekt-Nr.: 204041 |
        
        Scout-ID: 128834725","89077 Ulm-Söflingen, Ulm",2021-09-02 11:16:33.480967,Wohn-/ Geschäftshaus,520  m²,264  m²,,520  m²,348  m²,3,975.000 €,23,42.480  €,Nein,1961,Gepflegt,2012,Zentralheizung,liegt zur Besichtigung vor,,Öl,,,,,"2.487,24  €",,,,,,,,128  m²,,24.000  €,740  €,0  €,,,,
3 Wasserkraftanlagen zu verkaufen,Baden-Württemberg,,"Objekt-Nr.: 206749 |
        
        Scout-ID: 129085227","76275 Ettlingen, Karlsruhe (Kreis)",2021-09-02 11:17:10.393525,Industrieanwesen,0  m²,0  m²,,1.000  m²,,1,2.600.000 €,0,660.000  €,Nein,2020,Modernisiert,2020,,laut Gesetz nicht erforderlich,,,,,,,0  €,,,,,,,,0  m²,,660.000  €,0  €,0  €,,,,
NEUModernisiertes und vermietetes 3-Familienhaus mit großzügigem Grundstück in Riedlingen-Eichenau,Baden-Württemberg,,"Objekt-Nr.: PA7478 |
        
        Scout-ID: 129309348","88499 Riedlingen, Biberach (Kreis)",2021-09-02 11:17:46.053027,Mehrfamilienhaus,250  m²,250  m²,,,,2,590.000 €,,,"3,57 % inkl. ges. MwSt.",1970,Modernisiert,2020,Zentralheizung,liegt vor,,Öl,Bedarfsausweis,"120,4 kWh/(m²*a)",,Normal,,,,,,,,,,,,,,,,,
++ Für Eigennutzer oder Kapitalanleger ++ Büro - Kanzlei - Praxis - Wohnen und Arbeiten unter einem,Baden-Württemberg,,"Objekt-Nr.: 131 |
        
        Scout-ID: 127828245","74821 Mosbach, Neckar-Odenwald-Kreis",2021-09-02 11:18:22.581514,Wohn-/ Geschäftshaus,252  m²,,,,550  m²,,297.000 €,,,"3,57 % inkl.19% MwSt.",,Gepflegt,,,liegt vor,,Gas,Bedarfsausweis,"148,6 kWh/(m²*a)",E,Normal,,,,,,,,,,,,,,,,,
"Neubauvorhaben ""Alter Ziegelplatz"" in Tiengen",Baden-Württemberg,,"Objekt-Nr.: WT-2760-A04 |
        
        Scout-ID: 129119979","79761 Waldshut-Tiengen, Waldshut (Kreis)",2021-09-02 11:18:55.613827,Eigentumswohnung,"83,24  m²","83,24  m²",,"83,24  m²",,5,364.500 €,,,Nein,2023,,,,laut Gesetz nicht erforderlich,1,,,,,,"4.162,66  €",,,,,,,,,,,,,,,,
"14-Familien Wohnhaus in ruhiger, grüner Wohnlage in Villingen zu verkaufen!",Baden-Württemberg,,"Objekt-Nr.: 126197030#z7h8rW |
        
        Scout-ID: 128940590","78048 Villingen - Schwenningen, Villingen",2021-09-02 11:19:30.752950,Mehrfamilienhaus,720  m²,720  m²,,,1.633  m²,3.0,1.600.000 €,,,Nein,1958,Renovierungsbedürftig,,Gas-Heizung,laut Gesetz nicht erforderlich,,,,,,,,,1 Min.,,10 Min.,,,,,,,,,,,,
NEU+++ Großzügiges Familienglück mit schönem Garten+++,Baden-Württemberg,,"Objekt-Nr.: SBE/MS-DHH-A-SVN-S97 |
        
        Scout-ID: 124513570","70563 Stuttgart / Vaihingen, Heerstraße",2021-09-02 11:20:06.981040,Mehrfamilienhaus,188  m²,159  m²,,,335  m²,3.00,895.000 €,,,"4,76 % inkl. MwSt.",1965,Renovierungsbedürftig,,Zentralheizung,liegt vor,2,Öl,Bedarfsausweis,"275,21 kWh/(m²*a)",H,Normal,,,,,,,,,,,,,,,,,
NEUKapitalanlage in schöner Randlage...,Baden-Württemberg,,"Objekt-Nr.: 31630 |
        
        Scout-ID: 129205229","74523 Schwäbisch Hall, Schwäbisch Hall (Kreis)",2021-09-02 11:20:36.759432,Eigentumswohnung,"85,42  m²","85,42  m²",,"85,42  m²",,,238.000 €,,,"3,57 % inkl. ges. MwSt.",1992,,,Zentralheizung,liegt vor,1,Fernwärme,Verbrauchsausweis,,D,,,"121,48 kWh/(m²*a)",,,,,,,,,,,,,,,
Grundbuch statt Sparbuch! Mehrfamilienhaus in Uni Nähe S-Birkach,Baden-Württemberg,,"Objekt-Nr.: HK10430.1 |
        
        Scout-ID: 128899449","70599 Stuttgart, Birkach-Nord",2021-09-02 11:21:13.015301,Mehrfamilienhaus,140  m²,140  m²,,,236  m²,,798.000 €,,,"6,00% v. Brutto-VKP (mind. 6000 EUR) inkl. MwSt.",1960,,,,,2,,,,,,,,,,,,,,,,,,,,,,
Vollständig modernisiert und Top-Rendite: Gut vermietete Gewerbeeinheit in Mannheim-Schönau,Baden-Württemberg,,"Objekt-Nr.: 116590-1 |
        
        Scout-ID: 128777741","68307 Mannheim / Schönau, Mannheim",2021-09-02 11:21:46.085999,Wohn-/ Geschäftshaus,40  m²,,,40  m²,3.183  m²,,199.000 €,,,"4,64 % inkl. ges. USt.",1988,,,,,,,,,,,4.975  €,,,,,,,,,,10.800  €,,,,,,
Wohnung sucht Kapitalanleger!!!,Baden-Württemberg,,"Objekt-Nr.: 219028 |
        
        Scout-ID: 128547153","71034 Böblingen, Böblingen (Kreis)",2021-09-02 11:22:28.684462,Eigentumswohnung,41  m²,41  m²,,41  m²,,,158.000 €,,,"2,975 % inkl. ges. MwSt.",1984,Gepflegt,,,liegt vor,,Fernwärme,Verbrauchsausweis,,D,Normal,,104 kWh/(m²*a),,,,,,,,,6.000  €,,,,,,
Denkmalgeschütztes Schmuckstück -Wohn- u. Geschäftshaus,Baden-Württemberg,,"Objekt-Nr.: 118-00387 |
        
        Scout-ID: 128506871","78661 Dietingen, Rottweil (Kreis)",2021-09-02 11:23:02.671896,Wohn-/ Geschäftshaus,605  m²,377  m²,38  m²,643  m²,740  m²,3,670.000 €,,,"3,57 % inkl. ges. MwSt.",1797,Gepflegt,2020,Zentralheizung,laut Gesetz nicht erforderlich,7,,,,,Normal,,,,,,,,,228  m²,,,,,Ja,,,
+++ Kapitalanlage par excellence - Neu saniertes MFH mit 8 Einheiten +++,Baden-Württemberg,,"Objekt-Nr.: MS/SL-MFH-A-GP-S32 |
        
        Scout-ID: 128376285","73033 Göppingen, Göppingen (Kreis)",2021-09-02 11:23:38.047390,Mehrfamilienhaus,1.285  m²,706  m²,,1.285  m²,758  m²,4.00,2.385.000 €,,,"4,76 inkl. MwSt.",1948,Gepflegt,2021,Etagenheizung,liegt vor,2,,Verbrauchsausweis,,D,Gehoben,,"124,2 kWh/(m²*a)",,,,,,,,,,,,,,,
!! Sinnvolle und profitable Investition in ausgezeichneter Wohnlage !! 6-Familienhaus,Baden-Württemberg,,"Objekt-Nr.: 5618 |
        
        Scout-ID: 127384759","71034 Böblingen-Dagersheim, Böblingen",2021-09-02 11:24:11.541669,Mehrfamilienhaus,388  m²,388  m²,,,532  m²,,1.749.000 €,,,"4,76% des Kaufpreises inkl. MwSt.",1973,,,Zentralheizung,liegt vor,6,Öl,Verbrauchsausweis,,D,,,103 kWh/(m²*a),4 Min.,9 Min.,5 Min.,19 Min.,,,,,54.804  €,,,,,,
Solide Kapitalanlage: Pflege-Appartement mit einer attraktiven Rendite,Baden-Württemberg,,"Objekt-Nr.: Kaiserstraße_TE37 |
        
        Scout-ID: 128688962","74889 Sinsheim-Weiler, Sinsheim",2021-09-02 11:24:38.869638,Wohnanlage,"38,63  m²","38,63  m²","60,05  m²",,,3,367.637 €,,"12.237,30  €",Nein,2022,Erstbezug,,Zentralheizung,liegt zur Besichtigung vor,,Flüssiggas,,,,Normal,,,1 Min.,13 Min.,10 Min.,,,,,,"12.237,30  €",,,,,,
NEUBarrierefreie Wohnung mit Garten für Jung und Alt,Baden-Württemberg,,"Objekt-Nr.: 121-00226 |
        
        Scout-ID: 129423308","68794 Oberhausen-Rheinhausen, Karlsruhe (Kreis)",2021-09-02 11:25:13.695590,Eigentumswohnung,"79,07  m²","79,07  m²",,"79,07  m²",,,339.000 €,,,"3,57 % inkl. ges. MwSt.",2019,Neuwertig,,Fußbodenheizung,liegt vor,1,Gas,Bedarfsausweis,"21,5 kWh/(m²*a)",A+,,"4.287,34  €",,,,,,,,,,,,,,,,
NEUWohnen und Leben auf dem Lande,Baden-Württemberg,,"Objekt-Nr.: 0-40016742 |
        
        Scout-ID: 129398745","88299 Leutkirch im Allgäu, Ravensburg (Kreis)",2021-09-02 11:25:49.066050,Mehrfamilienhaus,"275,58  m²","275,58  m²",,,412  m²,,449.000 €,,0  €,"4,76 % inkl. MwSt",1798,Vollständig renoviert,1980,Zentralheizung,liegt vor,1,Öl,Bedarfsausweis,"148,7 kWh/(m²*a)",,Normal,0  €,,,,,,,,,,0  €,0  €,0  €,,,,
"NEUZentral, komplett vermietet, günstig!",Baden-Württemberg,,"Objekt-Nr.: 0-1223 |
        
        Scout-ID: 128720307","72501 Gammertingen, Sigmaringen (Kreis)",2021-09-02 11:26:22.463166,Mehrfamilienhaus,188  m²,188  m²,,,296  m²,,134.900 €,,0  €,"4,165 % inkl. MwSt",1900,,,Zentralheizung,liegt vor,3,Öl,Bedarfsausweis,"285,1 kWh/(m²*a)",,Einfach,"717,55  €",,,,,,,,,,0  €,0  €,0  €,,,,
