Link_Header_Project_Name,State,Link_Header_project_Url,Scout id,Address,Timestamp,Data.Objektart,Data.Vermietbare Fläche ca.,Data.Wohnfläche ca.,Data.Sonstige Fläche ca.,Data.Gesamtfläche ca.,Data.Grundstücksfläche,Data.Etage(n),Data.Kaufpreis ab,Data.x-fache Miete,Data.Mieteinnahmen p.a. (Soll),Data.Provision für Käufer,Data.Baujahr,Data.Objektzustand,Data.Letzte Modernisierung/ Sanierung,Data.Heizungsart,Data.Energieausweis,Data.Anzahl der Parkflächen,Data.Wesentliche Energieträger,Data.Energie­ausweistyp,Data.Endenergiebedarf,Data.Energie­effizienz­klasse,Data.Qualität der Ausstattung,Data.Kaufpreis pro m²,Data.End­energie­verbrauch,Data.Fußweg zu öffentl. Verkehrsmitteln,Data.Fahrzeit nächster Hauptbahnhof,Data.Fahrzeit nächste Autobahn,Data.Fahrzeit nächster Flughafen,Data.End­energie­ver­brauch Strom,Data.End­energie­ver­brauch Wärme,Data.Gewerbefläche ca.,Data.Preis pro Parkfläche,Data.Mieteinnahmen p.a. (Ist),Data.Betriebskosten umgelegt,Data.Nicht umgelegte Kosten,Data.Denkmalschutzobjekt,Data.Energie­ver­brauchs­kennwert,Data.Strom­ver­brauchs­kenn­wert,Data.Heiz­energie­ver­brauchs­kenn­wert
"Praxis-/Bürofläche, Stadtmitte Sinsheim",Baden-Württemberg,,Scout-ID: 128992211,"74889 Sinsheim-Stadtmitte, Sinsheim",2021-09-02 11:36:06.165974,Wohn-/ Geschäftshaus,107  m²,,,,,,428.000 €,,,Nein,2019,Neuwertig,,Wärmepumpe,,,,,,,Gehoben,,,2 Min.,1 Min.,5 Min.,70 Min.,,,107  m²,,,,,,,,
NEUHeilbronn-Ost - 3-Familienhaus in Pfühlpark-Nähe,Baden-Württemberg,,"Objekt-Nr.: 0-3415 |
        
        Scout-ID: 129453531","74074 Heilbronn, Baden-Württemberg",2021-09-02 11:36:33.518944,Mehrfamilienhaus,320  m²,320  m²,,,1.060  m²,,1.850.000 €,,0  €,"4,76 % inkl. MwSt",1963,,2012,Zentralheizung,liegt vor,4,Öl,Bedarfsausweis,"84,3 kWh/(m²*a)",,,"6.093,75  €",,,,,,,,,,0  €,0  €,0  €,,,,
Sehr gut vermietete 3-Zimmer Wohnung in Stuttgart-Ost,Baden-Württemberg,,"Objekt-Nr.: 9525 |
        
        Scout-ID: 129129733","70184 Stuttgart, Gablenberg",2021-09-02 11:36:58.150116,Eigentumswohnung,70  m²,70  m²,,,,3,325.000 €,,,"4,17% des Kaufpreises inkl. MwSt.",1909,,,,liegt vor,,Erdgas leicht,Verbrauchsausweis,,,,,,,,,,,,,,,,,,"144,4 kWh/(m²*a)",,
Sachwerte für Ihre Zukunftssicherung - attraktive Kapitalanlage mit guter Rendite,Baden-Württemberg,,"Objekt-Nr.: BG 0202021 |
        
        Scout-ID: 128550738","74369 Löchgau, Ludwigsburg (Kreis)",2021-09-02 11:37:23.309418,Mehrfamilienhaus,324  m²,324  m²,,,495  m²,4,899.000 €,32,28.000  €,"3,57% incl. ges. MwSt. auf den Kaufpreis",1970,Gepflegt,2008,Fußbodenheizung,liegt vor,4,Strom,Bedarfsausweis,"125,88 kWh/(m²*a)",,Normal,,,5 Min.,15 Min.,15 Min.,50 Min.,,,,,28.000  €,,,,,,
Modernisiertes Wohn- und Geschäftshaus in zentrumsnaher Lage ***Keine Käuferprovision,Baden-Württemberg,,"Objekt-Nr.: 7329 |
        
        Scout-ID: 128035085","72764 Reutlingen, Reutlingen (Kreis)",2021-09-02 11:37:49.889906,Wohn-/ Geschäftshaus,1.035  m²,809  m²,,1.035  m²,607  m²,,3.999.000 €,,,Nein,1956,Modernisiert,2020,,liegt vor,12,Fernwärme,Bedarfsausweis,"86,2 kWh/(m²*a)",C,,,,,,,,,,226  m²,,,,,,,,
Pflege-Immobilie: Solide Kapitalanlage zur Altersvorsorge mit einer attraktiven Rendite,Baden-Württemberg,,"Objekt-Nr.: Kaiserstraße_TE22 |
        
        Scout-ID: 128689040","74889 Sinsheim-Weiler, Sinsheim",2021-09-02 11:38:14.863873,Wohnanlage,"21,67  m²","21,67  m²","33,68  m²",,,3,214.134 €,,"6.864,67  €",Nein,2022,Erstbezug,,Zentralheizung,liegt zur Besichtigung vor,,Flüssiggas,,,,Normal,,,1 Min.,13 Min.,10 Min.,,,,,,"6.864,67  €",,,,,,
Eine Immobilie als Renditeobjekt oder zur Selbstnutzung,Baden-Württemberg,,"Objekt-Nr.: GO20087 - 2 |
        
        Scout-ID: 126807481","75305 Neuenbürg, Enzkreis",2021-09-02 11:38:41.883561,Gewerbeanwesen,1.024  m²,,,,1.048  m²,,1.290.000 €,,,"Zuzüglich 4,76 % Käuferprovision incl. 19 % MwSt.",1954,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filettstück in der Altstadt von Niedernhall,Baden-Württemberg,,"Objekt-Nr.: 2-1575 |
        
        Scout-ID: 128554435","74676 Niedernhall, Hohenlohekreis",2021-09-02 11:39:07.371549,Wohn-/ Geschäftshaus,331  m²,331  m²,,,445  m²,,549.000 €,,0  €,"3,57 % inkl. MwSt",1900,Renovierungsbedürftig,1980,Zentralheizung,liegt vor,4,Öl,Bedarfsausweis,"159,9 kWh/(m²*a)",,Normal,0  €,,,,,,,,,,0  €,0  €,0  €,,,,
"NEUEin-, Zwei- oder Dreifamilienhaus?",Baden-Württemberg,,"Objekt-Nr.: 11900 |
        
        Scout-ID: 129281382","74232 Abstatt, Heilbronn (Kreis)",2021-09-02 11:39:34.351085,Mehrfamilienhaus,211  m²,211  m²,61  m²,272  m²,454  m²,,620.000 €,,,"4,76 % inkl. ges. MwSt.",1974,,2015,Zentralheizung,liegt vor,2,Öl,Bedarfsausweis,"176,9 kWh/(m²*a)",F,Normal,,,,,,,,,,,,,,,,,
"NEU***Projektvorstellung am So., 05.09. von 13-14 Uhr!***",Baden-Württemberg,,"Objekt-Nr.: 07732-E10-Eh1 |
        
        Scout-ID: 129535802","71229 Leonberg, Böblingen (Kreis)",2021-09-02 11:39:59.605888,Eigentumswohnung,"45,95  m²",,,,,,305.000 €,,,ohne zusätzliche Käuferprovision,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUIdeal für Kapitalanleger! Schöne 2-Zimmer-Wohnung auf Erbpacht in ruhiger Lage von Kirchheim,Baden-Württemberg,,"Objekt-Nr.: 11608 |
        
        Scout-ID: 129423624","69124 Heidelberg, Kirchheim",2021-09-02 11:40:26.535269,Eigentumswohnung,52  m²,52  m²,20  m²,72  m²,,3,229.000 €,,,"4,76 % inkl. ges. MwSt.",1997,Gepflegt,,Zentralheizung,liegt vor,1,Gas,Verbrauchsausweis,,C,Normal,,95 kWh/(m²*a),,,,,,,,,6.960  €,,,,,,
"NEU2,5 - Zi.-Wohnung mit großem Balkon, Carport inklusive",Baden-Württemberg,,Scout-ID: 129250467,"75399 Unterreichenbach, Calw (Kreis)",2021-09-02 11:41:01.321490,Eigentumswohnung,64  m²,64  m²,6  m²,,,2,192.800 €,,6.150  €,"3,57 % inkl. Mwst.",1980,Gepflegt,,Zentralheizung,liegt vor,1,Öl,Verbrauchsausweis,,D,Normal,,117 kWh/(m²*a),10 Min.,2 Min.,20 Min.,50 Min.,,,,,,,,,,,
NEUTraumhafte Lage inmitten der Natur!,Baden-Württemberg,,"Objekt-Nr.: IC77686 |
        
        Scout-ID: 129190672","72461 Albstadt, Zollernalbkreis",2021-09-02 11:41:34.540179,Einfamilienhaus,112  m²,112  m²,,112  m²,1.224  m²,,399.000 €,,,"3,57 % inkl. ges. MwSt.",1959,Gepflegt,,Zentralheizung,liegt vor,2,Öl,Bedarfsausweis,"331,5 kWh/(m²*a)",H,,,,,,,,,,,,,,,,,,
Wohnung in Reutlingen,Baden-Württemberg,,"Objekt-Nr.: 219134 |
        
        Scout-ID: 128992556","72762 Reutlingen, Reutlingen (Kreis)",2021-09-02 11:42:01.051404,Eigentumswohnung,82  m²,82  m²,,82  m²,,,299.000 €,,,"3,57 % inkl. ges. MwSt.",1938,Neuwertig,2016,Etagenheizung,liegt vor,,"Gas, Öl",Verbrauchsausweis,,D,,,115 kWh/(m²*a),,,,,,,,,,,,,,,
Attraktive Neubauwohnungen in Oberndorf-Bochingen,Baden-Württemberg,,"Objekt-Nr.: 0-530 |
        
        Scout-ID: 128820542","78727 Oberndorf am Neckar-Bochingen, Oberndorf am Neckar",2021-09-02 11:42:34.143273,Eigentumswohnung,"47,06  m²","47,06  m²",,,,,178.828 €,,0  €,Nein,2022,,,,,,,,,,,3.800  €,,,,,,,,,,0  €,0  €,0  €,,,,
***IDEALE KAPITALANLAGE IM ZENTRUM VON BAD LIEBENZELL***,Baden-Württemberg,,"Objekt-Nr.: 946 |
        
        Scout-ID: 128585831","75382 Bad Liebenzell, Calw (Kreis)",2021-09-02 11:43:04.822470,Mehrfamilienhaus,570  m²,340  m²,,570  m²,543  m²,3,980.000 €,,,"4,76 %",1899,Modernisiert,2020,Zentralheizung,liegt vor,9,Gas,Bedarfsausweis,"119,4 kWh/(m²*a)",D,Gehoben,,,,,,,,,230  m²,,,,,,,,
Büro-/Ladeneinheit mit großen Fensterflächen in beliebter Lage im Zentrum von Brühl,Baden-Württemberg,,"Objekt-Nr.: 21214CNO |
        
        Scout-ID: 128718352","68782 Brühl, Rhein-Neckar-Kreis",2021-09-02 11:43:31.345684,Laden/Verkaufsfläche,77  m²,,,77  m²,,,165.000 €,,,"4,76",1980,Gepflegt,,,liegt zur Besichtigung vor,,Fernwärme,,,,,,,,,,,,,77  m²,,,,,,,,
Wohn- und Geschäftshaus in bester City-Lage von Mannheim,Baden-Württemberg,,"Objekt-Nr.: 0321 |
        
        Scout-ID: 128525604","68161 Mannheim, Innenstadt/Jungbusch",2021-09-02 11:44:21.124471,Wohn-/ Geschäftshaus,1.543  m²,,,1.543  m²,383  m²,6,10.500.000 €,"35,6",,"3,57% incl. 19% USt.",1965,Gepflegt,,,liegt zur Besichtigung vor,,,,,,,6.805  €,,1 Min.,3 Min.,5 Min.,,,,1.543  m²,,294.822  €,,,,,,
Solide Anlage: Zwei-geschossige Maisonette-Wohnung in Mannheim-Friedrichsfeld,Baden-Württemberg,,"Objekt-Nr.: 128431874 |
        
        Scout-ID: 128431873","68229 Mannheim, Friedrichsfeld",2021-09-02 11:45:01.012967,Eigentumswohnung,76  m²,76  m²,50  m²,,,3,370.000 €,"31,4",,"3,57% incl. 19% USt.",,Gepflegt,,Zentralheizung,liegt zur Besichtigung vor,1,Gas,,,,,,,2 Min.,,5 Min.,,,,,,11.760  €,,,,,,
Kapitalanlage in schöner Randlage...,Baden-Württemberg,,"Objekt-Nr.: 31632 |
        
        Scout-ID: 128225900","74523 Schwäbisch Hall, Schwäbisch Hall (Kreis)",2021-09-02 11:45:29.489621,Eigentumswohnung,"89,99  m²","89,99  m²",,"89,99  m²",,,258.000 €,,,"3,57 % inkl. ges. MwSt.",1992,,,Zentralheizung,liegt vor,1,Fernwärme,Verbrauchsausweis,,D,,,"105,6 kWh/(m²*a)",,,,,,,,,,,,,,,
Kapitalanlage in zentraler Lage von Waldshut,Baden-Württemberg,,"Objekt-Nr.: 03926 |
        
        Scout-ID: 128167356","79761 Waldshut-Tiengen, Waldshut (Kreis)",2021-09-02 11:46:11.422553,Mehrfamilienhaus,602  m²,602  m²,,602  m²,1.239  m²,4,1.150.000 €,,,"3,57 % inkl. ges. MwSt.",1974,Saniert,2010,Zentralheizung,liegt vor,1,Öl,Bedarfsausweis,"115,5 kWh/(m²*a)",D,Normal,,,,,,,,,,,43.757  €,,,,,,
Ideale Kapitalanlage mit bester Infrastruktur!,Baden-Württemberg,,"Objekt-Nr.: 08117-E1 |
        
        Scout-ID: 126723530","71126 Gäufelden, Böblingen (Kreis)",2021-09-02 11:46:47.196724,Eigentumswohnung,67  m²,,,,,,199.000 €,,,"4,16 % Provision inkl. 19 % MwSt.",1982,,,,,1,,Verbrauchsausweis,,C,,,"93,8 kWh/(m²*a)",,,,,,,,,,,,,,,
"Neubau eines hochmodernen, ruhig gelgenen MFH in Reutlingen",Baden-Württemberg,,"Objekt-Nr.: 3258-MFH |
        
        Scout-ID: 112218732","72770 Reutlingen, Gönningen",2021-09-02 11:47:22.794807,Mehrfamilienhaus,335  m²,,,,,,1.392.000 €,,,Nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESERVIERT: Mehrfamilienhaus mit mehreren Optionen und attraktiver Rendite,Baden-Württemberg,,"Objekt-Nr.: CK-2455 |
        
        Scout-ID: 126518843","69151 Neckargemünd, Rhein-Neckar-Kreis",2021-09-02 11:47:56.135911,Mehrfamilienhaus,0  m²,0  m²,0  m²,0  m²,1.449  m²,,1.480.000 €,,0  €,4.76% des Kaufpreises inkl. MWST,1972,,,Gas-Heizung,,,,,,,,0  €,,0 Min.,0 Min.,0 Min.,0 Min.,,,0  m²,0  €,0  €,0  €,0  €,,,,
Mehrfamilienhaus in zentraler Lage,Baden-Württemberg,,"Objekt-Nr.: 31593 |
        
        Scout-ID: 126384834","74585 Rot am See, Schwäbisch Hall (Kreis)",2021-09-02 11:48:32.876197,Mehrfamilienhaus,"383,51  m²","383,51  m²",,"383,51  m²",1.452  m²,,699.000 €,,,"4,76 % inkl. ges. MwSt.",1974,Modernisiert,2018,Zentralheizung,liegt vor,8,Öl,Bedarfsausweis,"125,5 kWh/(m²*a)",D,,,,,,,,,,,,37.320  €,,,,,,
"RARITÄT: denkmalgeschützte, sanierte „Alte Mühle“ mit 4 Abstellplätzen – rentabel vermietet !!!",,,,,2021-09-02 11:49:05.954435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
